Antecedente,Consequente,Suporte,Confianca,Lift,Quantidade_antecedente,Pergunta,Resposta,Classificacao,Analise_critica,Utilidade
"{avaliacao_media, genero_ficcao_cientifica}",{genero_acao},0.04768429706768978,0.5686274509803921,2.235906862745098,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero ficção científica, com que frequência ele também apresenta gênero ação?","Na amostra, 56.86% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero ficção científica também apresentam gênero ação. A regra ocorre em 4.77% de todos os filmes e possui lift 2.24, indicando uma associação moderada.",interessante ou parcialmente surpreendente,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_guerra}",{genero_drama},0.02247191011235955,0.82,1.8736255479023167,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero guerra, com que frequência ele também apresenta gênero drama?","Na amostra, 82.00% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero guerra também apresentam gênero drama. A regra ocorre em 2.25% de todos os filmes e possui lift 1.87, indicando uma associação moderada.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_guerra},{genero_drama},0.033707865168539325,0.7884615384615384,1.8015630268291507,1,"Quando um filme apresenta gênero guerra, com que frequência ele também apresenta gênero drama?","Na amostra, 78.85% dos filmes com gênero guerra também apresentam gênero drama. A regra ocorre em 3.37% de todos os filmes e possui lift 1.80, indicando uma associação moderada.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_baixa, genero_romance}",{genero_comedia},0.02466429158673609,0.6766917293233082,1.6695389589592644,2,"Quando um filme apresenta avaliação média baixa (menor que 3,0) e gênero romance, com que frequência ele também apresenta gênero comédia?","Na amostra, 67.67% dos filmes com avaliação média baixa (menor que 3,0) e gênero romance também apresentam gênero comédia. A regra ocorre em 2.47% de todos os filmes e possui lift 1.67, indicando uma associação moderada.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_alta, popularidade_media}",{genero_drama},0.037270485064401206,0.7157894736842105,1.6355139570905974,2,"Quando um filme apresenta avaliação média alta (igual ou superior a 4,0) e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero drama?","Na amostra, 71.58% dos filmes com avaliação média alta (igual ou superior a 4,0) e popularidade intermediária (10 a 49 avaliações) também apresentam gênero drama. A regra ocorre em 3.73% de todos os filmes e possui lift 1.64, indicando uma associação moderada.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_alta, popularidade_baixa}",{genero_drama},0.02959714990408331,0.6625766871165645,1.513927571251311,2,"Quando um filme apresenta avaliação média alta (igual ou superior a 4,0) e popularidade baixa (5 a 9 avaliações), com que frequência ele também apresenta gênero drama?","Na amostra, 66.26% dos filmes com avaliação média alta (igual ou superior a 4,0) e popularidade baixa (5 a 9 avaliações) também apresentam gênero drama. A regra ocorre em 2.96% de todos os filmes e possui lift 1.51, indicando uma associação moderada.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{avaliacao_alta},{genero_drama},0.07947382844614963,0.6590909090909091,1.5059628849547446,1,"Quando um filme apresenta avaliação média alta (igual ou superior a 4,0), com que frequência ele também apresenta gênero drama?","Na amostra, 65.91% dos filmes com avaliação média alta (igual ou superior a 4,0) também apresentam gênero drama. A regra ocorre em 7.95% de todos os filmes e possui lift 1.51, indicando uma associação moderada.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_romance, periodo_2000_2009}",{genero_comedia},0.036996437380104136,0.6026785714285714,1.4869331353230948,2,"Quando um filme apresenta gênero romance e lançamento entre 2000 e 2009, com que frequência ele também apresenta gênero comédia?","Na amostra, 60.27% dos filmes com gênero romance e lançamento entre 2000 e 2009 também apresentam gênero comédia. A regra ocorre em 3.70% de todos os filmes e possui lift 1.49, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_baixa, genero_drama}",{popularidade_baixa},0.02850095916689504,0.5621621621621621,1.4864708186447315,2,"Quando um filme apresenta avaliação média baixa (menor que 3,0) e gênero drama, com que frequência ele também apresenta popularidade baixa (5 a 9 avaliações)?","Na amostra, 56.22% dos filmes com avaliação média baixa (menor que 3,0) e gênero drama também apresentam popularidade baixa (5 a 9 avaliações). A regra ocorre em 2.85% de todos os filmes e possui lift 1.49, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_baixa, periodo_1970_1989}",{popularidade_baixa},0.020827624006577145,0.5547445255474452,1.4668570824077012,2,"Quando um filme apresenta avaliação média baixa (menor que 3,0) e lançamento entre 1970 e 1989, com que frequência ele também apresenta popularidade baixa (5 a 9 avaliações)?","Na amostra, 55.47% dos filmes com avaliação média baixa (menor que 3,0) e lançamento entre 1970 e 1989 também apresentam popularidade baixa (5 a 9 avaliações). A regra ocorre em 2.08% de todos os filmes e possui lift 1.47, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_baixa, genero_comedia}",{popularidade_baixa},0.06796382570567279,0.5523385300668151,1.460495142183919,2,"Quando um filme apresenta avaliação média baixa (menor que 3,0) e gênero comédia, com que frequência ele também apresenta popularidade baixa (5 a 9 avaliações)?","Na amostra, 55.23% dos filmes com avaliação média baixa (menor que 3,0) e gênero comédia também apresentam popularidade baixa (5 a 9 avaliações). A regra ocorre em 6.80% de todos os filmes e possui lift 1.46, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_romance, popularidade_media}",{genero_comedia},0.0534392984379282,0.566860465116279,1.3985624321901975,2,"Quando um filme apresenta gênero romance e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero comédia?","Na amostra, 56.69% dos filmes com gênero romance e popularidade intermediária (10 a 49 avaliações) também apresentam gênero comédia. A regra ocorre em 5.34% de todos os filmes e possui lift 1.40, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_romance, periodo_2000_2009}",{genero_drama},0.037544532748698276,0.6116071428571429,1.3974667904105913,2,"Quando um filme apresenta gênero romance e lançamento entre 2000 e 2009, com que frequência ele também apresenta gênero drama?","Na amostra, 61.16% dos filmes com gênero romance e lançamento entre 2000 e 2009 também apresentam gênero drama. A regra ocorre em 3.75% de todos os filmes e possui lift 1.40, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_romance},{genero_comedia},0.10112359550561797,0.5633587786259542,1.389923044764102,1,"Quando um filme apresenta gênero romance, com que frequência ele também apresenta gênero comédia?","Na amostra, 56.34% dos filmes com gênero romance também apresentam gênero comédia. A regra ocorre em 10.11% de todos os filmes e possui lift 1.39, indicando uma associação positiva, porém modesta.",esperada,"O suporte é alto para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_infantil},{genero_comedia},0.04850644012058098,0.5566037735849056,1.3732570451733068,1,"Quando um filme apresenta gênero infantil, com que frequência ele também apresenta gênero comédia?","Na amostra, 55.66% dos filmes com gênero infantil também apresentam gênero comédia. A regra ocorre em 4.85% de todos os filmes e possui lift 1.37, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_romance}",{genero_comedia},0.06796382570567279,0.5560538116591928,1.3719001749455,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero romance, com que frequência ele também apresenta gênero comédia?","Na amostra, 55.61% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero romance também apresentam gênero comédia. A regra ocorre em 6.80% de todos os filmes e possui lift 1.37, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_infantil, popularidade_media}",{genero_comedia},0.024938339271033158,0.5515151515151515,1.3607023582682813,2,"Quando um filme apresenta gênero infantil e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero comédia?","Na amostra, 55.15% dos filmes com gênero infantil e popularidade intermediária (10 a 49 avaliações) também apresentam gênero comédia. A regra ocorre em 2.49% de todos os filmes e possui lift 1.36, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_romance}",{genero_drama},0.07262263633872294,0.594170403587444,1.357625424352275,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero romance, com que frequência ele também apresenta gênero drama?","Na amostra, 59.42% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero romance também apresentam gênero drama. A regra ocorre em 7.26% de todos os filmes e possui lift 1.36, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_romance, popularidade_media}",{genero_drama},0.05590572759660181,0.5930232558139535,1.3550042958454078,2,"Quando um filme apresenta gênero romance e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta gênero drama?","Na amostra, 59.30% dos filmes com gênero romance e popularidade intermediária (10 a 49 avaliações) também apresentam gênero drama. A regra ocorre em 5.59% de todos os filmes e possui lift 1.36, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_ficcao_cientifica, periodo_2010_2018}",{popularidade_media},0.020005480953685942,0.6636363636363637,1.3312859213353991,2,"Quando um filme apresenta gênero ficção científica e lançamento entre 2010 e 2018, com que frequência ele também apresenta popularidade intermediária (10 a 49 avaliações)?","Na amostra, 66.36% dos filmes com gênero ficção científica e lançamento entre 2010 e 2018 também apresentam popularidade intermediária (10 a 49 avaliações). A regra ocorre em 2.00% de todos os filmes e possui lift 1.33, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_romance, popularidade_baixa}",{genero_drama},0.03590024664291587,0.5796460176991151,1.3244385213425616,2,"Quando um filme apresenta gênero romance e popularidade baixa (5 a 9 avaliações), com que frequência ele também apresenta gênero drama?","Na amostra, 57.96% dos filmes com gênero romance e popularidade baixa (5 a 9 avaliações) também apresentam gênero drama. A regra ocorre em 3.59% de todos os filmes e possui lift 1.32, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_romance, periodo_1990_1999}",{genero_drama},0.037270485064401206,0.5714285714285715,1.3056624027193846,2,"Quando um filme apresenta gênero romance e lançamento entre 1990 e 1999, com que frequência ele também apresenta gênero drama?","Na amostra, 57.14% dos filmes com gênero romance e lançamento entre 1990 e 1999 também apresentam gênero drama. A regra ocorre em 3.73% de todos os filmes e possui lift 1.31, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_crime, periodo_2000_2009}",{genero_drama},0.03096738832556865,0.5707070707070707,1.3040138390795872,2,"Quando um filme apresenta gênero crime e lançamento entre 2000 e 2009, com que frequência ele também apresenta gênero drama?","Na amostra, 57.07% dos filmes com gênero crime e lançamento entre 2000 e 2009 também apresentam gênero drama. A regra ocorre em 3.10% de todos os filmes e possui lift 1.30, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_romance},{genero_drama},0.10194573855850918,0.5679389312977099,1.297688891863083,1,"Quando um filme apresenta gênero romance, com que frequência ele também apresenta gênero drama?","Na amostra, 56.79% dos filmes com gênero romance também apresentam gênero drama. A regra ocorre em 10.19% de todos os filmes e possui lift 1.30, indicando uma associação positiva, porém modesta.",esperada,"O suporte é alto para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{periodo_2010_2018, popularidade_media}",{avaliacao_media},0.05179501233214579,0.8253275109170306,1.28922092779805,2,"Quando um filme apresenta lançamento entre 2010 e 2018 e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta avaliação média intermediária (de 3,0 a menos de 4,0)?","Na amostra, 82.53% dos filmes com lançamento entre 2010 e 2018 e popularidade intermediária (10 a 49 avaliações) também apresentam avaliação média intermediária (de 3,0 a menos de 4,0). A regra ocorre em 5.18% de todos os filmes e possui lift 1.29, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{periodo_2000_2009, popularidade_alta}",{avaliacao_media},0.03069334064127158,0.8235294117647058,1.2864121676067686,2,"Quando um filme apresenta lançamento entre 2000 e 2009 e popularidade alta (50 ou mais avaliações), com que frequência ele também apresenta avaliação média intermediária (de 3,0 a menos de 4,0)?","Na amostra, 82.35% dos filmes com lançamento entre 2000 e 2009 e popularidade alta (50 ou mais avaliações) também apresentam avaliação média intermediária (de 3,0 a menos de 4,0). A regra ocorre em 3.07% de todos os filmes e possui lift 1.29, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_crime, periodo_1990_1999}",{genero_drama},0.023568100849547823,0.5620915032679739,1.2843280497337737,2,"Quando um filme apresenta gênero crime e lançamento entre 1990 e 1999, com que frequência ele também apresenta gênero drama?","Na amostra, 56.21% dos filmes com gênero crime e lançamento entre 1990 e 1999 também apresentam gênero drama. A regra ocorre em 2.36% de todos os filmes e possui lift 1.28, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, popularidade_baixa}",{genero_drama},0.11564812277336256,0.5567282321899736,1.2720734622800336,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e popularidade baixa (5 a 9 avaliações), com que frequência ele também apresenta gênero drama?","Na amostra, 55.67% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e popularidade baixa (5 a 9 avaliações) também apresentam gênero drama. A regra ocorre em 11.56% de todos os filmes e possui lift 1.27, indicando uma associação positiva, porém modesta.",esperada,"O suporte é alto para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_musical},{avaliacao_media},0.03233762674705399,0.8137931034482759,1.271203353802551,1,"Quando um filme apresenta gênero musical, com que frequência ele também apresenta avaliação média intermediária (de 3,0 a menos de 4,0)?","Na amostra, 81.38% dos filmes com gênero musical também apresentam avaliação média intermediária (de 3,0 a menos de 4,0). A regra ocorre em 3.23% de todos os filmes e possui lift 1.27, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_misterio}",{genero_drama},0.025760482323924364,0.5562130177514792,1.270896244067093,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero mistério, com que frequência ele também apresenta gênero drama?","Na amostra, 55.62% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero mistério também apresentam gênero drama. A regra ocorre em 2.58% de todos os filmes e possui lift 1.27, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_aventura, periodo_2010_2018}",{popularidade_media},0.023020005480953686,0.631578947368421,1.2669772286681518,2,"Quando um filme apresenta gênero aventura e lançamento entre 2010 e 2018, com que frequência ele também apresenta popularidade intermediária (10 a 49 avaliações)?","Na amostra, 63.16% dos filmes com gênero aventura e lançamento entre 2010 e 2018 também apresentam popularidade intermediária (10 a 49 avaliações). A regra ocorre em 2.30% de todos os filmes e possui lift 1.27, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{avaliacao_media, genero_crime}",{genero_drama},0.05234310770073993,0.5504322766570605,1.2576877755301274,2,"Quando um filme apresenta avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime, com que frequência ele também apresenta gênero drama?","Na amostra, 55.04% dos filmes com avaliação média intermediária (de 3,0 a menos de 4,0) e gênero crime também apresentam gênero drama. A regra ocorre em 5.23% de todos os filmes e possui lift 1.26, indicando uma associação positiva, porém modesta.",esperada,"O suporte é intermediário para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_animacao, popularidade_media}",{avaliacao_media},0.026856673061112633,0.7967479674796748,1.2445776255707763,2,"Quando um filme apresenta gênero animação e popularidade intermediária (10 a 49 avaliações), com que frequência ele também apresenta avaliação média intermediária (de 3,0 a menos de 4,0)?","Na amostra, 79.67% dos filmes com gênero animação e popularidade intermediária (10 a 49 avaliações) também apresentam avaliação média intermediária (de 3,0 a menos de 4,0). A regra ocorre em 2.69% de todos os filmes e possui lift 1.24, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
"{genero_animacao, genero_infantil}",{avaliacao_media},0.03206357906275692,0.785234899328859,1.2265933851245747,2,"Quando um filme apresenta gênero animação e gênero infantil, com que frequência ele também apresenta avaliação média intermediária (de 3,0 a menos de 4,0)?","Na amostra, 78.52% dos filmes com gênero animação e gênero infantil também apresentam avaliação média intermediária (de 3,0 a menos de 4,0). A regra ocorre em 3.21% de todos os filmes e possui lift 1.23, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
{genero_imax},{avaliacao_media},0.02603453000822143,0.7851239669421487,1.2264201007585191,1,"Quando um filme apresenta formato IMAX, com que frequência ele também apresenta avaliação média intermediária (de 3,0 a menos de 4,0)?","Na amostra, 78.51% dos filmes com formato IMAX também apresentam avaliação média intermediária (de 3,0 a menos de 4,0). A regra ocorre em 2.60% de todos os filmes e possui lift 1.23, indicando uma associação positiva, porém modesta.",esperada,"O suporte é baixo para esta base. A confiança mostra a proporção condicional, enquanto o lift compara a coocorrência com o que seria esperado pelas frequências individuais. A regra descreve associação, não causalidade, e pode refletir convenções de classificação de gêneros, o recorte temporal e o filtro de filmes com pelo menos cinco avaliações.",útil para descrever combinações recorrentes e apoiar análises de catálogo; não deve ser usada isoladamente para recomendar filmes
